feature,importance
foundation_score,0.5657801
dim_min,0.16982645
dim_max,0.08346278
execution_score,0.059514347
avg_strategy,0.026235627
avg_data,0.023228677
d1_q1,0.011015191
avg_talent,0.009748437
d4_q2,0.008412089
d4_q1,0.007418119
d1_q3,0.0052552465
avg_processes,0.0048589073
gap_strategy_vs_tech,0.004256298
d1_q2,0.004041209
avg_technology,0.0037827732
d4_q4,0.00264705
d5_q4,0.0021212366
d4_q3,0.0010460021
d1_q4,0.00087657775
gap_data_vs_talent,0.0006355969
dim_range,0.0005850238
dim_variance,0.0005648562
d3_q3,0.00048033264
consistency_talent,0.00043901915
d3_q4,0.00039792634
d5_q5,0.0003291056
d3_q2,0.00025144272
d2_q4,0.00024874762
d5_q1,0.00021841144
d4_q5,0.00021802973
d2_q3,0.00019067859
d5_q3,0.00018994285
d3_q5,0.00018399379
consistency_processes,0.00017637586
d1_q5,0.0001711771
consistency_strategy,0.00016689736
d3_q1,0.00015436146
consistency_technology,0.00013816953
consistency_data,0.00012811208
d2_q5,0.00012369144
d2_q2,0.00012339979
d2_q1,0.000108411
d5_q2,0.00010805444
gap_strategy_vs_processes,0.000106914624
quick_win_signal,3.425614e-05
