sector,size,is_outlier,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d3_q1,d3_q2,d3_q3,d3_q4,d3_q5,d4_q1,d4_q2,d4_q3,d4_q4,d4_q5,d5_q1,d5_q2,d5_q3,d5_q4,d5_q5,dim_avg_data,dim_avg_talent,dim_avg_technology,dim_avg_strategy,dim_avg_processes,maturity_score
manufacturing,startup,False,2,4,2,3,1,1,2,2,2,2,3,2,3,3,2,1,1,2,2,3,2,3,3,3,3,2.4,1.8,2.6,1.8,2.8,2.2600000000000002
banking_insurance,startup,False,3,3,3,2,3,2,2,2,2,3,2,2,3,2,3,2,3,2,3,3,2,4,3,3,2,2.8,2.2,2.4,2.6,2.8,2.56
tech_software,medium,False,4,5,5,4,5,4,5,5,5,4,5,4,3,3,4,4,5,5,4,3,2,4,3,4,3,4.6,4.6,3.8,4.2,3.2,4.15
fintech,large,False,5,4,5,4,3,3,3,5,3,4,2,4,3,3,3,3,4,3,3,3,3,4,3,3,3,4.2,3.6,3.0,3.2,3.2,3.49
manufacturing,large,False,2,4,4,3,3,4,2,2,3,2,3,3,4,4,3,3,2,3,2,2,2,3,4,2,3,3.2,2.6,3.4,2.4,2.8,2.9
banking_insurance,enterprise,False,3,3,4,4,3,4,4,5,5,3,2,2,2,3,3,4,4,3,4,3,3,3,4,3,3,3.4,4.2,2.4,3.6,3.2,3.37
manufacturing,small,False,4,3,3,4,4,3,4,3,4,4,2,2,2,3,2,2,2,2,2,2,4,5,5,4,3,3.6,3.6,2.2,2.0,4.2,3.09
retail_ecommerce,medium,False,4,3,4,4,4,3,3,3,3,4,2,3,3,4,3,1,3,4,1,3,3,3,3,3,4,3.8,3.2,3.0,2.4,3.2,3.1500000000000004
professional_services,small,False,3,3,4,2,4,4,5,5,5,5,2,3,2,3,4,4,3,3,4,3,2,3,4,3,1,3.2,4.8,2.8,3.4,2.6,3.39
healthcare,large,False,5,4,5,4,4,2,2,2,2,1,2,2,2,3,1,3,5,3,3,4,3,3,4,3,3,4.4,1.8,2.0,3.6,3.2,3.0600000000000005
banking_insurance,large,False,1,2,1,2,3,4,4,3,2,4,2,2,3,2,3,4,4,3,3,4,5,4,5,4,4,1.8,3.4,2.4,3.6,4.4,2.99
fintech,medium,False,3,4,4,3,4,2,2,2,1,2,3,4,5,2,4,3,4,4,3,5,2,3,2,2,3,3.6,1.8,3.6,3.8,2.4,3.1
energy_utilities,medium,False,4,4,3,4,5,4,2,2,3,2,2,2,2,1,1,2,3,3,3,5,4,2,3,3,3,4.0,2.6,1.6,3.2,3.0,2.9300000000000006
energy_utilities,small,False,4,3,4,3,3,1,2,1,2,2,3,2,3,2,3,3,4,3,3,5,4,3,2,1,3,3.4,1.6,2.6,3.6,2.6,2.8000000000000003
education,large,False,3,3,3,2,3,3,1,1,3,2,3,2,3,2,2,4,3,2,3,3,2,3,3,4,1,2.8,2.0,2.4,3.0,2.6,2.5700000000000003
banking_insurance,small,False,3,4,4,4,4,3,4,3,2,2,2,2,2,2,3,3,2,3,3,3,3,4,4,3,3,3.8,2.8,2.2,2.8,3.4,3.0199999999999996
manufacturing,medium,False,1,1,1,1,2,4,2,2,3,4,2,3,5,2,2,2,2,3,3,1,4,4,5,3,3,1.2,3.0,2.8,2.2,3.8,2.4699999999999998
professional_services,large,False,3,2,1,3,2,3,5,3,4,4,2,3,2,2,3,3,2,5,5,3,1,2,2,2,2,2.2,3.8,2.4,3.6,1.8,2.7800000000000002
banking_insurance,small,False,4,2,4,3,5,4,5,3,4,4,2,3,3,2,1,3,2,2,3,1,2,4,3,1,4,3.6,4.0,2.2,2.2,2.8,3.0
energy_utilities,small,False,3,4,3,4,3,2,2,3,3,2,3,4,4,4,2,2,2,1,2,2,3,4,3,2,3,3.4,2.4,3.4,1.8,3.0,2.8200000000000003
fintech,medium,False,3,4,4,3,3,4,3,3,3,4,3,3,4,5,4,4,3,3,4,4,4,3,4,4,4,3.4,3.4,3.8,3.6,3.8,3.58
fintech,startup,False,5,5,4,4,3,4,4,3,5,5,4,3,4,4,4,3,2,3,2,2,1,2,2,2,4,4.2,4.2,3.8,2.4,2.2,3.4600000000000004
tech_software,small,False,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,3,2,3,4,4,4,4,3,3,4,4.8,4.2,4.2,3.2,3.6,4.0600000000000005
energy_utilities,medium,False,2,3,2,2,3,2,2,2,1,1,3,2,1,1,2,3,3,4,1,3,4,2,3,3,3,2.4,1.6,1.8,2.8,3.0,2.29
banking_insurance,small,False,3,4,5,4,3,5,4,4,5,4,3,3,3,3,1,5,3,3,4,4,3,4,3,3,3,3.8,4.4,2.6,3.8,3.2,3.5900000000000003
manufacturing,startup,False,2,2,2,3,3,1,1,1,2,3,1,1,1,1,1,1,1,1,2,1,2,3,2,3,3,2.4,1.6,1.0,1.2,2.6,1.75
tech_software,small,False,5,5,5,5,5,5,5,4,5,3,3,3,4,3,4,5,4,4,4,4,3,3,4,4,3,5.0,4.4,3.4,4.2,3.4,4.16
logistics,small,False,4,3,3,3,1,3,1,2,3,3,2,3,4,3,5,3,3,4,3,2,4,4,3,3,3,2.8,2.4,3.4,3.0,3.4,2.9699999999999998
healthcare,startup,False,3,2,2,3,3,2,3,3,3,3,2,3,3,3,4,3,3,3,2,2,3,2,2,3,2,2.6,2.8,3.0,2.6,2.4,2.69
retail_ecommerce,small,False,4,3,5,3,2,3,3,3,3,3,4,4,4,4,4,2,3,2,3,3,4,4,3,3,4,3.4,3.0,4.0,2.6,3.6,3.31
retail_ecommerce,large,False,4,4,3,3,3,4,3,4,3,4,4,5,3,5,4,4,3,4,3,4,3,5,3,4,3,3.4,3.6,4.2,3.6,3.6,3.6700000000000004
tech_software,large,False,4,5,5,4,5,4,4,4,4,4,4,3,3,5,4,3,3,4,3,3,4,4,4,4,4,4.6,4.0,3.8,3.2,4.0,3.95
healthcare,small,False,4,4,4,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,3,2,3,1,2,3,2,3.4,2.2,2.6,2.2,2.2,2.58
banking_insurance,small,False,2,2,3,4,4,3,3,4,4,3,3,3,2,3,3,3,4,1,2,2,4,4,4,4,4,3.0,3.4,2.8,2.4,4.0,3.0700000000000003
